Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Central Europe and the Baltics,CEB,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.82376209,68.26374839,68.00779332,68.69636848,69.05244017,69.27681461,69.52695537,69.27278129,69.53617344,69.27589883,69.44706991,69.48535544,69.9255778,70.0678602,70.30599818,70.17452814,70.31924102,70.24234605,70.14798914,70.23950194,69.89032991,70.37146956,70.45513367,70.38961098,70.34901758,70.31275699,70.56492213,70.61176532,70.86171837,70.73196965,70.65636732,70.57260774,70.73234787,70.84622957,70.86952676,71.02589323,71.33546524,71.51758933,71.89811827,72.18492179,72.71969035,73.09799286,73.24431357,73.38382869,73.73940392,73.84004668,74.09472478,74.25238333,74.57753902,74.9318257,75.29534873,75.88847488,75.9934886,76.35516299,76.68547642,77.02690975,
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.659843811,3.268037217,2.598912162,2.415394251,2.170632286,2.108408515,2.336634923,2.205113405,2.221045946,2.087184414,1.952881914,1.861524601,1.893444724,1.896342656,1.862738965,1.758686479,1.785763104,1.707035528,1.668152399,1.535960504,1.544634426,1.482536164,1.415759519,1.399623507,1.374784541,1.418192728,1.541026697,
Central Europe and the Baltics,CEB,Official exchange rate (LCU per US$ period average),PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Population total,SP.POP.TOTL,91401583,92237118,93014890,93845749,94722599,95447065,96148635,97043587,97882394,98602140,99133296,99638983,100363597,101120519,101946256,102862489,103770134,104589313,105304312,105924838,106564905,107187982,107770794,108326895,108853181,109360296,109847148,110296680,110688533,110801380,110745760,110290445,110005636,110081461,110019570,109913216,109563097,109459093,109207205,109092730,108405522,107800399,107097577,106760768,106466116,106173766,105901322,105504531,105126686,104924372,104543801,104174038,103935318,103713726,103496179,103256779,
Central Europe and the Baltics,CEB,Urban population,SP.URB.TOTL,40680946,41697325,42662735,43670268,44717348,45700350,46636989,47617122,48587546,49513713,50340294,51243897,52351765,53487164,54670897,55905407,57137006,58349005,59529230,60602921,61618952,62476328,63243743,64001228,64746106,65478094,66191789,66882376,67542683,67934762,68131894,68095018,68005800,68007678,67938328,67833998,67595843,67494290,67307556,67195753,66742504,66373806,66004188,65840106,65701950,65573459,65463456,65294258,65141744,65074264,64879274,64691574,64587327,64507491,64446329,64387833,
Central Europe and the Baltics,CEB,Urban population (% of total),SP.URB.TOTL.IN.ZS,44.50792114,45.20666532,45.8665647,46.53409277,47.20874298,47.88030844,48.50509719,49.06776714,49.63869625,50.21565769,50.78040986,51.42956645,52.16210594,52.89447147,53.62717445,54.34965309,55.06112701,55.78868625,56.53066839,57.21313452,57.82293116,58.28669051,58.68356332,59.08156703,59.48021262,59.8737352,60.25808653,60.63861362,61.02048853,61.31219962,61.52099448,61.74153922,61.82028789,61.77941024,61.75113081,61.7159626,61.69581292,61.66165663,61.63289082,61.59507813,61.56743926,61.57102097,61.62995393,61.67069401,61.71160693,61.76050943,61.8155225,61.88763419,61.96499294,62.02015971,62.05941683,62.09951704,62.14184735,62.1976404,62.26928291,62.35700238,
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1.53278E+11,1.53726E+11,1.57283E+11,1.75457E+11,2.0163E+11,2.24562E+11,2.51056E+11,2.72008E+11,2.99707E+11,3.45226E+11,4.04576E+11,4.49008E+11,5.56903E+11,7.33864E+11,8.45336E+11,9.2564E+11,1.01779E+12,1.21302E+12,1.52939E+12,1.6619E+12,1.796E+12,1.98341E+12,1.94334E+12,2.06099E+12,2.21082E+12,2.34408E+12,3.05476E+12,3.5718E+12,4.29874E+12,4.49807E+12,4.70708E+12,5.29994E+12,5.78407E+12,6.49298E+12,7.30245E+12,8.29689E+12,7.99527E+12,7.64888E+12,6.85642E+12,7.65385E+12,8.28036E+12,7.70189E+12,7.8232E+12,8.60401E+12,9.64978E+12,1.0291E+13,1.09102E+13,1.21976E+13,1.40902E+13,1.45187E+13,1.69308E+13,1.9632E+13,2.10059E+13,2.1247E+13,2.18786E+13,2.168E+13,
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,147.0324273,146.9947393,148.3837907,161.6443948,181.5561227,197.5498666,215.2510686,227.6192038,244.8362761,274.6992293,313.769811,339.3718107,411.0195567,529.771313,597.2440181,641.6603332,693.8656406,814.2402512,1011.132453,1082.137251,1152.412939,1253.80995,1208.880837,1261.977393,1333.828888,1393.187371,1787.184066,2055.751366,2434.252233,2507.620797,2585.433331,2870.38603,3092.232209,3428.695136,3809.453257,4276.836947,4073.71031,3853.587692,3417.35034,3776.852071,4047.633302,3731.052592,3757.816293,4099.878866,4563.09873,4830.218692,5083.890911,5645.028847,6476.247435,6628.989574,7679.745391,8846.970414,9403.304326,9447.875686,9663.641182,9512.333045,
East Asia & Pacific,EAS,GNI (current US$),NY.GNP.MKTP.CD,1.48871E+11,1.49059E+11,1.52067E+11,1.69599E+11,1.95239E+11,2.20119E+11,2.46627E+11,2.67676E+11,2.95978E+11,3.41185E+11,4.00304E+11,4.4503E+11,5.52324E+11,7.27595E+11,8.35739E+11,9.15622E+11,1.00586E+12,1.1989E+12,1.51303E+12,1.64258E+12,1.77266E+12,1.95627E+12,1.91808E+12,2.03803E+12,2.18609E+12,2.32143E+12,3.02428E+12,3.53728E+12,4.28053E+12,4.49739E+12,4.70555E+12,5.29934E+12,5.79397E+12,6.51013E+12,7.32323E+12,8.30772E+12,8.00676E+12,7.66406E+12,6.86933E+12,7.67104E+12,8.31345E+12,7.73718E+12,7.85373E+12,8.64899E+12,9.70861E+12,1.03338E+13,1.0992E+13,1.23122E+13,1.42252E+13,1.46302E+13,1.70357E+13,1.96875E+13,2.11089E+13,2.12947E+13,2.20137E+13,2.17702E+13,
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007288276,,,0.079277922,0.1173821,0.209577897,0.46473374,1.079850356,1.882787353,3.406408274,5.592679876,7.252166109,8.993587818,10.54724365,12.59696421,14.66635904,16.6176467,20.76611474,25.25292651,29.5123239,34.2294861,37.36364156,40.75541268,44.16511022,46.67184282,49.59173435,
East Asia & Pacific,EAS,Life expectancy at birth total (years),SP.DYN.LE00.IN,48.22677442,48.75582501,49.42296055,50.39278484,51.58438454,52.94961711,54.48085663,55.96789819,57.34385647,58.58675901,59.64046497,60.56529841,61.36566599,62.06822272,62.77199249,63.447333,64.05998458,64.6440037,65.17017643,65.66278291,66.07803515,66.49523243,66.88529519,67.20408282,67.53393359,67.82369947,68.09688269,68.34813641,68.53811869,68.75257017,68.92980959,69.1197911,69.28309363,69.46095457,69.66043675,69.84062099,70.11553678,70.39551134,70.69055597,71.01638452,71.39122554,71.7638917,72.11905538,72.45788816,72.78565229,73.06035334,73.34392413,73.58463065,73.80130743,74.02089338,74.19417537,74.35296124,74.55066452,74.74047701,74.92511078,75.10420142,
East Asia & Pacific,EAS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.454196044,1.573148047,1.585924824,1.544869624,1.552706499,1.477737243,1.430966581,1.404974137,1.438702346,1.453134709,1.420111148,1.419981425,1.373571136,1.447655194,1.492123111,1.490636126,1.473110438,1.492735993,1.527964081,1.54476745,1.552186252,1.654358952,1.563465852,1.551034851,1.565336941,1.622436912,1.675225535,1.732042172,
East Asia & Pacific,EAS,Official exchange rate (LCU per US$ period average),PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Population total,SP.POP.TOTL,1042479827,1045793993,1059977365,1085452978,1110564125,1136733610,1166341432,1195012928,1224109922,1256740076,1289404691,1323056644,1354930027,1385247264,1415394715,1442569738,1466838266,1489758534,1512554064,1535753338,1558472173,1581903755,1607549234,1633141623,1657498383,1682528269,1709258866,1737466308,1765937284,1793758539,1820616892,1846419035,1870516977,1893718374,1916928717,1939958969,1962650225,1984871945,2006354328,2026515698,2045729346,2064266243,2081848420,2098602000,2114743503,2130552112,2146025766,2160769505,2175670646,2190179257,2204604095,2219066628,2233890130,2248870230,2264007889,2279146555,
East Asia & Pacific,EAS,Urban population,SP.URB.TOTL,231875822,239265536,247996105,258935815,270135745,276415051,283511762,290987167,298500593,307763575,316699132,326029582,335208820,344869775,356321451,364906381,373324318,381594639,393009222,408049616,423668624,440289889,457853906,474264845,490831647,507956901,526200576,545447585,565236439,585410343,605828599,627102682,648477369,670193418,692636436,715589100,738975960,762449476,786222087,809991054,834241245,862189575,891971113,921789805,951764706,981898116,1011519753,1040714608,1070479160,1100125495,1129961262,1159911744,1189737396,1219249112,1248502676,1277390786,
East Asia & Pacific,EAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,22.47146528,23.12252813,23.65150554,24.11832817,24.59557086,24.59025705,24.58260953,24.62678069,24.66317778,24.76819762,24.84119959,24.92157831,25.01952856,25.17626823,25.45722526,25.5792932,25.73744752,25.90421343,26.27804101,26.87283202,27.49611294,28.15271467,28.80937923,29.37449036,29.95384724,30.53738338,31.13792406,31.75078434,32.37045699,33.00405213,33.65013223,34.3436303,35.05643153,35.78526709,36.53333213,37.29569345,38.06781598,38.83632539,39.61777917,40.4085185,41.22672443,42.22434836,43.31249419,44.40136512,45.49334276,46.58353258,47.64123262,48.68038463,49.72790495,50.76485206,51.79825006,52.82202383,53.81898393,54.78478717,55.72148084,56.62995005,
